month,day_type,hour,load_kwh
1,FT,0,86.66499999999999
1,FT,1,74.681
1,FT,2,67.508
1,FT,3,63.796
1,FT,4,62.159
1,FT,5,62.637
1,FT,6,69.618
1,FT,7,85.186
1,FT,8,108.163
1,FT,9,129.435
1,FT,10,147.829
1,FT,11,168.554
1,FT,12,165.204
1,FT,13,152.911
1,FT,14,144.58499999999998
1,FT,15,142.149
1,FT,16,149.49599999999998
1,FT,17,172.39
1,FT,18,180.345
1,FT,19,170.325
1,FT,20,152.089
1,FT,21,133.93
1,FT,22,118.184
1,FT,23,95.194
1,SA,0,81.607
1,SA,1,69.134
1,SA,2,63.194
1,SA,3,60.748
1,SA,4,60.665
1,SA,5,61.715
1,SA,6,72.497
1,SA,7,92.793
1,SA,8,114.371
1,SA,9,127.643
1,SA,10,137.816
1,SA,11,151.586
1,SA,12,151.118
1,SA,13,144.839
1,SA,14,141.09300000000002
1,SA,15,140.99
1,SA,16,149.70600000000002
1,SA,17,169.82999999999998
1,SA,18,176.471
1,SA,19,166.325
1,SA,20,148.626
1,SA,21,134.112
1,SA,22,123.27799999999999
1,SA,23,102.804
1,WT,0,74.202
1,WT,1,63.785
1,WT,2,60.389
1,WT,3,59.857
1,WT,4,62.479
1,WT,5,71.108
1,WT,6,91.969
1,WT,7,99.991
1,WT,8,94.006
1,WT,9,90.78
1,WT,10,91.632
1,WT,11,100.498
1,WT,12,104.971
1,WT,13,104.059
1,WT,14,101.617
1,WT,15,104.983
1,WT,16,119.928
1,WT,17,149.829
1,WT,18,166.54
1,WT,19,164.889
1,WT,20,150.461
1,WT,21,134.329
1,WT,22,118.786
1,WT,23,95.362
2,FT,0,85.599
2,FT,1,73.65
2,FT,2,67.97800000000001
2,FT,3,65.642
2,FT,4,65.028
2,FT,5,66.451
2,FT,6,75.033
2,FT,7,95.437
2,FT,8,123.444
2,FT,9,143.429
2,FT,10,159.24
2,FT,11,176.623
2,FT,12,166.78
2,FT,13,149.674
2,FT,14,139.571
2,FT,15,134.852
2,FT,16,137.707
2,FT,17,158.857
2,FT,18,181.558
2,FT,19,174.344
2,FT,20,154.84300000000002
2,FT,21,135.35
2,FT,22,118.17
2,FT,23,95.218
2,SA,0,82.404
2,SA,1,70.793
2,SA,2,65.6
2,SA,3,63.983000000000004
2,SA,4,64.40299999999999
2,SA,5,65.65299999999999
2,SA,6,77.171
2,SA,7,99.23599999999999
2,SA,8,121.64
2,SA,9,132.04399999999998
2,SA,10,139.861
2,SA,11,150.78300000000002
2,SA,12,147.421
2,SA,13,139.865
2,SA,14,134.839
2,SA,15,134.363
2,SA,16,138.43
2,SA,17,157.061
2,SA,18,176.168
2,SA,19,168.515
2,SA,20,150.736
2,SA,21,135.7
2,SA,22,124.258
2,SA,23,103.64
2,WT,0,75.1
2,WT,1,65.263
2,WT,2,62.39
2,WT,3,62.13
2,WT,4,65.17
2,WT,5,74.233
2,WT,6,95.914
2,WT,7,102.059
2,WT,8,95.008
2,WT,9,90.943
2,WT,10,90.18299999999999
2,WT,11,98.26400000000001
2,WT,12,100.977
2,WT,13,98.787
2,WT,14,95.535
2,WT,15,97.939
2,WT,16,108.487
2,WT,17,134.63
2,WT,18,165.00900000000001
2,WT,19,167.553
2,WT,20,152.68
2,WT,21,135.405
2,WT,22,118.92699999999999
2,WT,23,95.92999999999999
3,FT,0,84.377
3,FT,1,73.178
3,FT,2,68.362
3,FT,3,66.101
3,FT,4,65.618
3,FT,5,67.809
3,FT,6,74.969
3,FT,7,94.72
3,FT,8,121.16
3,FT,9,140.81799999999998
3,FT,10,155.72299999999998
3,FT,11,171.9
3,FT,12,162.877
3,FT,13,146.44400000000002
3,FT,14,135.182
3,FT,15,129.748
3,FT,16,130.333
3,FT,17,144.618
3,FT,18,164.416
3,FT,19,167.63400000000001
3,FT,20,154.24
3,FT,21,135.12
3,FT,22,117.93299999999999
3,FT,23,93.153
3,SA,0,81.203
3,SA,1,70.207
3,SA,2,65.61
3,SA,3,63.984
3,SA,4,65.093
3,SA,5,67.271
3,SA,6,77.583
3,SA,7,100.418
3,SA,8,120.928
3,SA,9,130.807
3,SA,10,137.055
3,SA,11,146.865
3,SA,12,143.738
3,SA,13,136.389
3,SA,14,132.177
3,SA,15,130.466
3,SA,16,132.621
3,SA,17,143.999
3,SA,18,162.28199999999998
3,SA,19,166.144
3,SA,20,150.45
3,SA,21,134.668
3,SA,22,122.789
3,SA,23,102.13
3,WT,0,72.994
3,WT,1,64.073
3,WT,2,61.22
3,WT,3,61.236000000000004
3,WT,4,64.863
3,WT,5,74.82
3,WT,6,93.638
3,WT,7,97.8
3,WT,8,91.457
3,WT,9,88.248
3,WT,10,88.504
3,WT,11,96.958
3,WT,12,100.551
3,WT,13,99.256
3,WT,14,96.7
3,WT,15,99.01599999999999
3,WT,16,107.34299999999999
3,WT,17,126.318
3,WT,18,153.69299999999998
3,WT,19,165.321
3,WT,20,151.415
3,WT,21,133.77
3,WT,22,117.22
3,WT,23,92.471
4,FT,0,92.08500000000001
4,FT,1,78.08
4,FT,2,71.648
4,FT,3,69.139
4,FT,4,70.032
4,FT,5,73.81099999999999
4,FT,6,81.68
4,FT,7,105.11500000000001
4,FT,8,136.008
4,FT,9,157.444
4,FT,10,171.311
4,FT,11,186.406
4,FT,12,175.714
4,FT,13,154.853
4,FT,14,141.042
4,FT,15,133.04
4,FT,16,131.749
4,FT,17,144.74099999999999
4,FT,18,159.585
4,FT,19,163.293
4,FT,20,163.80700000000002
4,FT,21,153.042
4,FT,22,130.861
4,FT,23,102.82300000000001
4,SA,0,88.294
4,SA,1,74.621
4,SA,2,68.76599999999999
4,SA,3,67.226
4,SA,4,68.725
4,SA,5,72.599
4,SA,6,84.069
4,SA,7,110.116
4,SA,8,133.284
4,SA,9,143.851
4,SA,10,149.377
4,SA,11,158.527
4,SA,12,155.525
4,SA,13,146.219
4,SA,14,139.945
4,SA,15,136.79
4,SA,16,137.162
4,SA,17,146.362
4,SA,18,157.811
