datetime,price_eur_mwh,biomass,hydro,wind_offshore,wind_onshore,solar,other_renewables,nuclear,lignite,hard_coal,gas,pumped_hydro,other_conventional,grid_load,residual_load,temperature_c,year,month,hour,dayofweek
2023-01-01 00:00:00,-5.17,4044.5,1296.0,3059.25,28989.0,1.75,116.5,2459.5,3859.25,2067.5,1594.75,125.25,1892.5,38741.0,6691.0,15.2,2023,1,0,6
2023-01-01 01:00:00,-1.07,4024.0,1247.5,3586.0,29630.5,2.0,117.5,2458.75,3866.5,2052.0,1437.0,302.5,1860.0,38156.0,4937.5,15.0,2023,1,1,6
2023-01-01 02:00:00,-1.47,3997.0,1243.5,3842.25,29560.0,1.75,117.5,2459.75,3860.25,2034.25,1435.5,141.5,1795.25,37307.0,3903.0,15.0,2023,1,2,6
2023-01-01 03:00:00,-5.08,4003.25,1244.25,3463.25,27538.5,2.0,117.0,2460.5,3864.75,2037.0,1433.25,96.25,1804.0,36290.75,5287.0,14.9,2023,1,3,6
2023-01-01 04:00:00,-4.49,4026.75,1265.0,3462.25,26981.25,2.25,117.0,2461.0,3841.0,2040.25,1431.5,188.25,1832.0,35840.0,5394.25,14.3,2023,1,4,6
2023-01-01 05:00:00,-5.4,4048.5,1247.75,3340.0,27402.5,2.5,116.5,2465.25,3804.0,2036.5,1426.25,143.5,1823.25,36001.75,5256.75,14.6,2023,1,5,6
2023-01-01 06:00:00,-5.02,4088.5,1244.25,3268.5,27367.0,2.0,115.75,2464.25,3801.5,2033.0,1444.5,94.5,1828.0,35585.25,4947.75,14.2,2023,1,6,6
2023-01-01 07:00:00,-1.3,4146.5,1306.5,3479.75,27758.5,2.25,116.0,2464.25,3830.5,2031.0,1444.5,176.0,1839.25,36532.5,5292.0,13.8,2023,1,7,6
2023-01-01 08:00:00,-1.44,4200.75,1245.5,3117.5,26976.75,507.0,115.5,2462.75,3788.75,2037.25,1442.0,87.0,1851.0,37193.25,6592.0,14.5,2023,1,8,6
2023-01-01 09:00:00,-1.09,4229.0,1253.0,3467.75,25745.75,3323.75,114.25,2466.25,3786.5,2028.0,1438.75,55.25,1830.75,39598.75,7061.5,14.7,2023,1,9,6
2023-01-01 10:00:00,-1.07,4243.25,1382.25,3396.25,24513.25,6358.0,114.0,2464.0,3808.25,1997.5,1435.75,216.0,1786.5,41398.25,7130.75,15.1,2023,1,10,6
2023-01-01 11:00:00,-1.07,4245.25,1330.75,3599.5,23494.25,8449.25,114.0,2461.75,3824.75,2005.25,1436.5,191.25,1802.0,44122.0,8579.0,15.2,2023,1,11,6
2023-01-01 12:00:00,-0.79,4202.75,1288.75,3628.25,21903.0,8873.0,116.0,2458.5,3834.25,2021.0,1441.5,487.25,1813.0,44635.5,10231.25,15.3,2023,1,12,6
