STATIONS_ID;MESS_DATUM;QN_9;TT_TU;RF_TU;eor
       3987;2023010100;    3;  15.2;  61.0;eor
       3987;2023010101;    3;  15.0;  58.0;eor
       3987;2023010102;    3;  15.0;  57.0;eor
       3987;2023010103;    3;  14.9;  56.0;eor
       3987;2023010104;    3;  14.3;  58.0;eor
       3987;2023010105;    3;  14.6;  57.0;eor
       3987;2023010106;    3;  14.2;  59.0;eor
       3987;2023010107;    3;  13.8;  60.0;eor
       3987;2023010108;    3;  14.5;  59.0;eor
       3987;2023010109;    3;  14.7;  59.0;eor
       3987;2023010110;    3;  15.1;  59.0;eor
       3987;2023010111;    3;  15.2;  60.0;eor
       3987;2023010112;    3;  15.3;  59.0;eor
       3987;2023010113;    3;  15.1;  62.0;eor
       3987;2023010114;    3;  14.9;  63.0;eor
       3987;2023010115;    3;  13.7;  68.0;eor
       3987;2023010116;    3;  12.5;  74.0;eor
       3987;2023010117;    3;  11.8;  78.0;eor
       3987;2023010118;    3;  11.8;  77.0;eor
       3987;2023010119;    3;  12.0;  75.0;eor
       3987;2023010120;    3;  12.1;  75.0;eor
       3987;2023010121;    3;  12.5;  72.0;eor
       3987;2023010122;    3;  12.2;  75.0;eor
       3987;2023010123;    3;  12.2;  75.0;eor
       3987;2023010200;    3;  12.4;  74.0;eor
       3987;2023010201;    3;  11.6;  79.0;eor
       3987;2023010202;    3;  12.5;  72.0;eor
       3987;2023010203;    3;  13.0;  68.0;eor
       3987;2023010204;    3;  13.1;  67.0;eor
       3987;2023010205;    3;  12.7;  70.0;eor
       3987;2023010206;    3;  13.1;  66.0;eor
       3987;2023010207;    3;  13.5;  64.0;eor
       3987;2023010208;    3;  13.6;  63.0;eor
       3987;2023010209;    3;  14.5;  60.0;eor
       3987;2023010210;    3;  14.9;  58.0;eor
       3987;2023010211;    3;  15.0;  57.0;eor
       3987;2023010212;    3;  14.6;  61.0;eor
       3987;2023010213;    3;  14.7;  60.0;eor
       3987;2023010214;    3;  14.6;  60.0;eor
       3987;2023010215;    3;  14.1;  62.0;eor
       3987;2023010216;    3;  13.3;  66.0;eor
       3987;2023010217;    3;  12.1;  76.0;eor
       3987;2023010218;    3;  11.2;  76.0;eor
       3987;2023010219;    3;  10.8;  74.0;eor
       3987;2023010220;    3;   9.8;  82.0;eor
       3987;2023010221;    3;   9.2;  84.0;eor
       3987;2023010222;    3;   8.8;  85.0;eor
       3987;2023010223;    3;   8.2;  86.0;eor
       3987;2023010300;    3;   8.7;  83.0;eor
       3987;2023010301;    3;   7.6;  88.0;eor
       3987;2023010302;    3;   6.8;  89.0;eor
       3987;2023010303;    3;   6.1;  86.0;eor
       3987;2023010304;    3;   5.3;  84.0;eor
       3987;2023010305;    3;   4.6;  89.0;eor
       3987;2023010306;    3;   4.3;  88.0;eor
       3987;2023010307;    3;   3.4;  92.0;eor
       3987;2023010308;    3;   2.9;  94.0;eor
       3987;2023010309;    3;   3.6;  92.0;eor
       3987;2023010310;    3;   5.3;  84.0;eor
       3987;2023010311;    3;   6.4;  81.0;eor
       3987;2023010312;    3;   6.3;  80.0;eor
       3987;2023010313;    3;   6.7;  76.0;eor
       3987;2023010314;    3;   5.8;  80.0;eor
       3987;2023010315;    3;   4.5;  86.0;eor
