year,p_scenario,q_scenario,p,q,M_t,I_t,effective_ceiling,adoption_unconstrained,adoption_constrained,adoption_rate_of_M,adoption_rate_of_I,infra_wedge,infra_wedge_pct
2025,low,low,0.003,0.15,1730000.0,1100000.0,1100000.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,low,low,0.003,0.15,2300000.0,1422956.605643888,1422956.605643888,35833.917154430805,35833.917154430805,0.015579963980187307,0.025182719565939225,0.0,0.0
2027,low,low,0.003,0.15,3100000.0,1808308.7212346396,1808308.7212346396,77301.00758085992,77301.00758085992,0.024935808897051586,0.04274768277845939,0.0,0.0
2028,low,low,0.003,0.15,4100000.0,2250713.7307305713,2250713.7307305713,125232.84172297308,125232.84172297308,0.03054459554218856,0.05564139055672934,0.0,0.0
2029,low,low,0.003,0.15,5260000.0,2736678.6875862107,2736678.6875862107,180565.25139437002,180565.25139437002,0.034327994561667304,0.06597970460084633,0.0,0.0
2030,low,low,0.003,0.15,6410000.0,3245270.381212191,3245270.381212191,244345.0303831604,244345.0303831604,0.03811934951375357,0.0752926572151721,0.0,0.0
2031,low,low,0.003,0.15,7340000.0,3751279.792721624,3751279.792721624,317734.6873725447,317734.6873725447,0.04328810454666822,0.08470034359714401,0.0,0.0
2032,low,low,0.003,0.15,8280000.0,4229999.999999951,4229999.999999951,402014.1965423019,402014.1965423019,0.048552439195930185,0.09503881714948147,0.0,0.0
2033,low,low,0.003,0.15,9220000.0,4661807.654819352,4661807.654819352,498578.4232683984,498578.4232683984,0.05407575089678941,0.10694959127131097,0.0,0.0
2034,low,low,0.003,0.15,10150000.0,5034861.1857559215,5034861.1857559215,608928.6253996532,608928.6253996532,0.059992968019670266,0.12094248539013697,0.0,0.0
2035,low,low,0.003,0.15,11090000.0,5345335.333549026,5345335.333549026,734656.17663975,734656.17663975,0.0662449212479486,0.1374387443999657,0.0,0.0
2025,low,central,0.003,0.3,1730000.0,1100000.0,1100000.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,low,central,0.003,0.3,2300000.0,1422956.605643888,1422956.605643888,38724.81325861314,38724.81325861314,0.0168368753298318,0.02721433183908666,0.0,0.0
2027,low,central,0.003,0.3,3100000.0,1808308.7212346396,1808308.7212346396,90725.97376126627,90725.97376126627,0.029266443148795573,0.050171728254079465,0.0,0.0
2028,low,central,0.003,0.3,4100000.0,2250713.7307305713,2250713.7307305713,160356.21156976995,160356.21156976995,0.03911127111457804,0.07124682689775881,0.0,0.0
2029,low,central,0.003,0.3,5260000.0,2736678.6875862107,2736678.6875862107,253236.73849638354,253236.73849638354,0.048143866634293445,0.09253433355003832,0.0,0.0
2030,low,central,0.003,0.3,6410000.0,3245270.381212191,3245270.381212191,376502.1352816535,376502.1352816535,0.058736682571240796,0.11601564463205694,0.0,0.0
