datetime,epex_ct_kwh,t1_ct_kwh,t2_ct_kwh,t3_tib_ct_kwh,t3_oct_ct_kwh,t3_awa_ct_kwh,t4_ct_kwh,module3_grid_ct,grid_fee_ct,taxes_levies_ct,year,month,hour,dayofweek
2023-01-01 00:00:00,-0.517,47.0,25.445770000000003,28.00427,25.445770000000003,27.569920000000003,20.04317,2.61,9.3,12.6,2023,1,0,6
2023-01-01 01:00:00,-0.10700000000000001,47.0,25.93367,28.492169999999994,25.93367,28.05782,20.53107,2.61,9.3,12.6,2023,1,1,6
2023-01-01 02:00:00,-0.147,47.0,25.88607,28.44457,25.88607,28.01022,20.483469999999997,2.61,9.3,12.6,2023,1,2,6
2023-01-01 03:00:00,-0.508,47.0,25.456480000000003,28.01498,25.456480000000003,27.580630000000003,20.05388,2.61,9.3,12.6,2023,1,3,6
2023-01-01 04:00:00,-0.449,47.0,25.52669,28.085189999999997,25.52669,27.65084,20.124089999999995,2.61,9.3,12.6,2023,1,4,6
2023-01-01 05:00:00,-0.54,47.0,25.4184,27.976899999999997,25.4184,27.54255,20.0158,2.61,9.3,12.6,2023,1,5,6
2023-01-01 06:00:00,-0.502,47.0,25.46362,28.022119999999997,25.46362,27.58777,20.061019999999996,2.61,9.3,12.6,2023,1,6,6
2023-01-01 07:00:00,-0.13,47.0,25.906299999999998,28.464799999999997,25.906299999999998,28.03045,26.275199999999998,7.46,9.3,12.6,2023,1,7,6
2023-01-01 08:00:00,-0.144,47.0,25.88964,28.44814,25.88964,28.01379,26.258539999999996,7.46,9.3,12.6,2023,1,8,6
2023-01-01 09:00:00,-0.10900000000000001,47.0,25.93129,28.489789999999996,25.93129,28.05544,26.300189999999997,7.46,9.3,12.6,2023,1,9,6
2023-01-01 10:00:00,-0.10700000000000001,47.0,25.93367,28.492169999999994,25.93367,28.05782,26.302569999999996,7.46,9.3,12.6,2023,1,10,6
2023-01-01 11:00:00,-0.10700000000000001,47.0,25.93367,28.492169999999994,25.93367,28.05782,26.302569999999996,7.46,9.3,12.6,2023,1,11,6
2023-01-01 12:00:00,-0.079,47.0,25.966989999999996,28.525489999999994,25.966989999999996,28.091139999999996,26.33589,7.46,9.3,12.6,2023,1,12,6
2023-01-01 13:00:00,-0.027000000000000003,47.0,26.02887,28.58737,26.02887,28.15302,26.397769999999998,7.46,9.3,12.6,2023,1,13,6
2023-01-01 14:00:00,0.08499999999999999,47.0,26.162149999999997,28.720649999999996,26.162149999999997,28.286299999999997,26.531049999999997,7.46,9.3,12.6,2023,1,14,6
